"Title","Track","Speaker(s)","Organization","Room","Time"
"Building Cloud and Desktop IDEs with Theia","Web & Cloud Development","Anton Kosyakov (TypeFox)","TypeFox","Bürgersaal 2","Tuesday, October 23, 2018 - 09:00 to 12:00"
"IoT Day Morning Sessions","IoT Day","Benjamin Cabé (Eclipse Foundation)","Eclipse Foundation","FMZ Präsentationsraum","Tuesday, October 23, 2018 - 09:00 to 12:00"
"From Zero to a Professional OSGi Project in Minutes","OSGi","Jürgen Albert (Data In Motion Consulting GmbH)","Data In Motion Consulting GmbH","Schubartsaal","Tuesday, October 23, 2018 - 09:00 to 12:00"
"Ethics in software testing - from theory to practice","Project Quality Day","Maik Nogens (MaibornWolff GmbH)","MaibornWolff GmbH","Seminarraum 5","Tuesday, October 23, 2018 - 09:00 to 12:00"
"Build your own IoT cloud stack","Built on Eclipse","Jens Reimann (Red Hat, Inc)","Red Hat, Inc","Seminarräume 1-2","Tuesday, October 23, 2018 - 09:00 to 12:00"
"Extending Eclipse Che for fun and profit","Web & Cloud Development","Gorkem Ercan (Red Hat)","Red Hat","Seminarräume 3-4","Tuesday, October 23, 2018 - 09:00 to 12:00"
"Developing cloud-native Java microservices with Eclipse MicroProfile","Cloud Native Java","Jamie Coleman (IBM)","IBM","Silchersaal","Tuesday, October 23, 2018 - 09:00 to 12:00"
"What every Eclipse developer should know about Eclipse 4 (e4)","Runtime & Frameworks","Jonas Helming (EclipseSource Munich)","EclipseSource Munich","Theater Stage","Tuesday, October 23, 2018 - 09:00 to 12:00"
"Eclipse hawkBit 101","IoT Day","Stefan Behl (Bosch Software Innovations GmbH)","Bosch Software Innovations GmbH","Wilhelm-Krämer-Zimmer","Tuesday, October 23, 2018 - 09:00 to 12:00"
"Marie Curie, Open Source, Kickstarter, and Women in Tech","Keynote","Anne Jacko (Eclipse Foundation)","Eclipse Foundation","Theater","Tuesday, October 23, 2018 - 13:30 to 14:15"
"If, when and how? - Strategies towards web-based tooling ","Web & Cloud Development","Maximilian Koegel (EclipseSource Munich)","EclipseSource Munich","Bürgersaal 2","Tuesday, October 23, 2018 - 14:30 to 15:05"
"Enabling testing of MQTT protocol implementations","IoT Day","Ian Craggs (IBM)","IBM","FMZ Präsentationsraum","Tuesday, October 23, 2018 - 14:30 to 15:05"
"OSGi in Action: How we use OSGi to build Open Liberty","OSGi","Alasdair Nottingham","","Schubartsaal","Tuesday, October 23, 2018 - 14:30 to 15:05"
"Invited Talk: From Java EE to Jakarta EE","Cloud Native Java","Dmitry Kornilov (Oracle)","Oracle","Seminarraum 5","Tuesday, October 23, 2018 - 14:30 to 15:05"
"How OSGi drives cross-sector energy management","OSGi","Jörn Tümmler (SMA Solar Technology)","SMA Solar Technology","Seminarräume 1-3","Tuesday, October 23, 2018 - 14:30 to 15:05"
"DAISY - An Eclipse based IDE for Automotive Machine Learning","Built on Eclipse","Andreas Graf (itemis AG)","itemis AG","Silchersaal","Tuesday, October 23, 2018 - 14:30 to 15:05"
"Smarter debugging in the IDE","Java & JDT","Rabea Gransberger","","Theater","Tuesday, October 23, 2018 - 14:30 to 15:05"
"Plugin development strategy : still Eclipse 3? Really?","Tools & IDEs","Olivier Prouvost (OPCoach)","OPCoach","Theater Stage","Tuesday, October 23, 2018 - 14:30 to 15:05"
"Thinking Cloud Native; connecting the dots with Project Gardener (sponsored by SAP)","Web & Cloud Development","Matthias Sohn (SAP SE)","SAP SE","Wilhelm-Krämer-Zimmer","Tuesday, October 23, 2018 - 14:30 to 15:05"
"Lucky in the Cloud With Diagrams","Web & Cloud Development","Jan Koehnlein (TypeFox)","TypeFox","Bürgersaal 2","Tuesday, October 23, 2018 - 15:15 to 15:50"
"How Bosch is building its IoT platform using OSGi and Eclipse Vorto","IoT Day","Kai Hackbarth (Bosch Software Innovations GmbH)","Bosch Software Innovations GmbH","FMZ Präsentationsraum","Tuesday, October 23, 2018 - 15:15 to 15:50"
"Meld OSGi Bundles with Java Modules","OSGi","Udo Hafermann (Software AG)","Software AG","Schubartsaal","Tuesday, October 23, 2018 - 15:15 to 15:50"
"Microservice Security via MicroProfile JWT","Cloud Native Java","Jonathan Gallimore (Tomitribe)","Tomitribe","Seminarraum 5","Tuesday, October 23, 2018 - 15:15 to 15:50"
"Turtles all the Way Up - From OSGi bundles to Fog Computing","OSGi","Tim Ward (Paremus)","Paremus","Seminarräume 1-3","Tuesday, October 23, 2018 - 15:15 to 15:50"
"Renesas's journey: Building a successful embedded IDE using Eclipse CDT","Built on Eclipse","William Riley (Renesas Electronics Europe Ltd)","Renesas Electronics Europe Ltd","Silchersaal","Tuesday, October 23, 2018 - 15:15 to 15:50"
"AdoptOpenJDK: Ensuring Free Java for the Community","Java & JDT","Shelley Lambert","","Theater","Tuesday, October 23, 2018 - 15:15 to 15:50"
"From Java EE to Jakarta EE: a user perspective","Cloud Native Java","Jean-François James (Atos Worldine)","Atos Worldine","Theater Stage","Tuesday, October 23, 2018 - 15:15 to 15:50"
"Path to Cloud-native Application Development: 8 steps (sponsored by Red Hat)","Cloud Native Java","Cesar Saavedra (Red Hat)","Red Hat","Wilhelm-Krämer-Zimmer","Tuesday, October 23, 2018 - 15:15 to 15:50"
"MicroProfile: It's All Fun and Games","Cloud Native Java","Andrew Guibert (IBM)","IBM","Bürgersaal 2","Tuesday, October 23, 2018 - 16:15 to 16:50"
"Eclipse IoT Comes Together","IoT Day","Stefano Morson (Eurotech S.p.a.)","Eurotech S.p.a.","FMZ Präsentationsraum","Tuesday, October 23, 2018 - 16:15 to 16:50"
"Visualization of OSGi Based Software Architectures in Virtual Reality","OSGi","Lisa Nafeie (Tech Student at German Aerospace Center (DLR), Department Intelligent and Distributed Systems)","Tech Student at German Aerospace Center (DLR), Department Intelligent and Distributed Systems","Schubartsaal","Tuesday, October 23, 2018 - 16:15 to 16:50"
"Towards a Graphical Language Server Protocol for Diagrams? (sponsored by EclipseSource)","Web & Cloud Development","Philip Langer (EclipseSource Services GmbH)","EclipseSource Services GmbH","Seminarraum 5","Tuesday, October 23, 2018 - 16:15 to 16:50"
"How to connect your OSGi application","OSGi","Dirk Fauth (Robert Bosch GmbH)","Robert Bosch GmbH","Seminarräume 1-3","Tuesday, October 23, 2018 - 16:15 to 16:50"
"Automotive meets IoT: innovating your future vehicle ","Other Cool Stuff","Marco Wagner (Robert Bosch GmbH)","Robert Bosch GmbH","Silchersaal","Tuesday, October 23, 2018 - 16:15 to 16:50"
"The modern way of developing (JavaFX)RCP applications","Built on Eclipse","Thomas Schindl (BestSolution)","BestSolution","Theater","Tuesday, October 23, 2018 - 16:15 to 16:50"
"Spring Tools 4 - A look behind the scenes","Tools & IDEs","Martin Lippert (Pivotal)","Pivotal","Theater Stage","Tuesday, October 23, 2018 - 16:15 to 16:50"
"Parallel Builds in Eclipse IDE Workspace: value, making-of and optimal usages","Tools & IDEs","Mickael Istria (Red Hat Inc.)","Red Hat Inc.","Wilhelm-Krämer-Zimmer","Tuesday, October 23, 2018 - 16:15 to 16:50"
"OpenAPIs are everywhere","Cloud Native Java","Jeremie Bresson (Unblu)","Unblu","Bürgersaal 2","Tuesday, October 23, 2018 - 17:00 to 17:35"
"IoT Day Lightning Talks","IoT Day","Benjamin Cabé (Eclipse Foundation)","Eclipse Foundation","FMZ Präsentationsraum","Tuesday, October 23, 2018 - 17:00 to 17:35"
"Prototyping IoT systems with a hybrid OSGi/Node-RED platform","OSGi","Bruce Jackson (Myriad Group AG)","Myriad Group AG","Schubartsaal","Tuesday, October 23, 2018 - 17:00 to 17:35"
"Fostering New Contributors In SWT: Lessons In Community Management","Eclipse 101","Eric Williams (Red Hat)","Red Hat","Seminarraum 5","Tuesday, October 23, 2018 - 17:00 to 17:35"
"MicroProfile: OSGi was meant for this","OSGi","Raymond Auge (Liferay, Inc.)","Liferay, Inc.","Seminarräume 1-3","Tuesday, October 23, 2018 - 17:00 to 17:35"
"What's new in Eclipse Dirigible 3?","Web & Cloud Development","Nedelcho Delchev (SAP)","SAP","Silchersaal","Tuesday, October 23, 2018 - 17:00 to 17:35"
"Migrate early, migrate often! JDK release cadence strategies","Java & JDT","Theresa Mammarella (IBM)","IBM","Theater","Tuesday, October 23, 2018 - 17:00 to 17:35"
"Move Your Crate - How to optimize your mobility","Other Cool Stuff","Michael Behrisch (Deutsches Zentrum fuer Luft- und Raumfahrt e.V. (DLR))","Deutsches Zentrum fuer Luft- und Raumfahrt e.V. (DLR)","Theater Stage","Tuesday, October 23, 2018 - 17:00 to 17:35"
"A Committer’s view on Eclipse’s Automatic Error Reporting System","Tools & IDEs","Karsten Thoms (itemis AG)","itemis AG","Wilhelm-Krämer-Zimmer","Tuesday, October 23, 2018 - 17:00 to 17:35"
"Flying to Jupiter with OSGi","Keynote","Anne Jacko (Eclipse Foundation)","Eclipse Foundation","Theater","Wednesday, October 24, 2018 - 09:15 to 10:00"
"EASEy IDE extensions without Plugins","Tools & IDEs","Rabea Gransberger","","Bürgersaal 2","Wednesday, October 24, 2018 - 10:25 to 11:00"
"Eclipse IoT-Testware: The Open-Source testing solution ","Project Quality Day","Alexander Kaiser (Relayr)","Relayr","FMZ Präsentationsraum","Wednesday, October 24, 2018 - 10:25 to 11:00"
"OSG(a)i: because AI needs a runtime","OSGi","Tim Verbelen (imec)","imec","Schubartsaal","Wednesday, October 24, 2018 - 10:25 to 11:00"
"Beyond LSP: Extensions for Java","Tools & IDEs","Thomas  Mäder","","Seminarraum 5","Wednesday, October 24, 2018 - 10:25 to 11:00"
"OSGi enRoute for R7 – getting started the easy way!","OSGi","Tim Ward (Paremus)","Paremus","Seminarräume 1-3","Wednesday, October 24, 2018 - 10:25 to 11:00"
"Streamlining contributions with Eclipse Theia","Web & Cloud Development","Paul Marechal (Ericsson)","Ericsson","Silchersaal","Wednesday, October 24, 2018 - 10:25 to 11:00"
"Jakarta EE - Not Your Parents' Java EE","Cloud Native Java","Kevin Sutter (IBM)","IBM","Theater","Wednesday, October 24, 2018 - 10:25 to 11:00"
"Textual AND graphical modeling: Xtext editors within Sirius Diagrams","Tools & IDEs","Niko Stotz (Altran Netherlands)","Altran Netherlands","Theater Stage","Wednesday, October 24, 2018 - 10:25 to 11:00"
"The holy war of modeling notations - what fits best and why?","Other Cool Stuff","Holger Schill (itemis AG)","itemis AG","Wilhelm-Krämer-Zimmer","Wednesday, October 24, 2018 - 10:25 to 11:00"
"Modeling tools go up to the cloud…","Tools & IDEs","Stephane Begaudeau (Obeo)","Obeo","Bürgersaal 2","Wednesday, October 24, 2018 - 11:10 to 11:45"
"Tackling the Challenges of IoT and AI - Quality Engineering and Skills","Project Quality Day","Armin Metzger","","FMZ Präsentationsraum","Wednesday, October 24, 2018 - 11:10 to 11:45"
"Integrating SLF4J and the new OSGi LogService 1.4","OSGi","BJ Hargrave (IBM)","IBM","Schubartsaal","Wednesday, October 24, 2018 - 11:10 to 11:45"
"Making Eclipse Che Enterprise Grade (sponsored by Eclipse Che)","Web & Cloud Development","Dave Neary (Red Hat)","Red Hat","Seminarraum 5","Wednesday, October 24, 2018 - 11:10 to 11:45"
"Popular patterns revisited on OSGi","OSGi","Christian Schneider (Adobe)","Adobe","Seminarräume 1-3","Wednesday, October 24, 2018 - 11:10 to 11:45"
"OpenADx - Leveraging open collaboration and open source to accelerate development of Autonomous Driving","Other Cool Stuff","Lars Geyer-Blaumeiser (Bosch Software Innovations GmbH)","Bosch Software Innovations GmbH","Silchersaal","Wednesday, October 24, 2018 - 11:10 to 11:45"
"Feeling Lonely?  Just Chat with Your House!","Other Cool Stuff","Kai Kreuzer (Deutsche Telekom AG)","Deutsche Telekom AG","Theater","Wednesday, October 24, 2018 - 11:10 to 11:45"
"Practical Cloud Native Java Development with MicroProfile","Cloud Native Java","Alasdair Nottingham","","Theater Stage","Wednesday, October 24, 2018 - 11:10 to 11:45"
"When Research Project teams learn Open Collaboration:  why a lonely repository is not enough","Tools & IDEs","Manon Midy (Enalean)","Enalean","Wilhelm-Krämer-Zimmer","Wednesday, October 24, 2018 - 11:10 to 11:45"
"Building a Web-IDE based on Eclipse Theia for Smart Home","Web & Cloud Development","Jonas Helming (EclipseSource Munich)","EclipseSource Munich","Bürgersaal 2","Wednesday, October 24, 2018 - 11:55 to 12:30"
"I am what IAM - the testing challenges of digital transformation","Project Quality Day","Andrei Contan (iWelcome)","iWelcome","FMZ Präsentationsraum","Wednesday, October 24, 2018 - 11:55 to 12:30"
"It Was Twenty Years Ago Today - Building an OSGi based Smart Home System","OSGi","Christer Larsson (Makewave AB)","Makewave AB","Schubartsaal","Wednesday, October 24, 2018 - 11:55 to 12:30"
"Improved developer productivity thanks to Maven and OSGi","OSGi","Lukasz Dywicki (Code-House)","Code-House","Seminarräume 1-3","Wednesday, October 24, 2018 - 11:55 to 12:30"
"Java Performance Testing for Everyone","Java & JDT","Shelley Lambert","","Theater","Wednesday, October 24, 2018 - 11:55 to 12:30"
"Eclipse Infrastructure: with Docker and k8s, this is not your grandparents' infra anymore!","Eclipse 101","Denis Roy (Eclipse Foundation, Inc.)","Eclipse Foundation, Inc.","Theater Stage","Wednesday, October 24, 2018 - 11:55 to 12:30"
"SysBox: An Eclipse Story","Built on Eclipse","Christian Pontesegger","","Wilhelm-Krämer-Zimmer","Wednesday, October 24, 2018 - 11:55 to 12:30"
"Cool kids' way of generating code","Runtime & Frameworks","Holger Schill (itemis AG)","itemis AG","Bürgersaal 2","Wednesday, October 24, 2018 - 14:00 to 14:35"
"Using sensors to reduce wasted support time: a case study for testing in IoT","Project Quality Day","Tim Winselmann (BREDEX GmbH)","BREDEX GmbH","FMZ Präsentationsraum","Wednesday, October 24, 2018 - 14:00 to 14:35"
"OSGi CDI Integration Specification","OSGi","Raymond Auge (Liferay, Inc.)","Liferay, Inc.","Schubartsaal","Wednesday, October 24, 2018 - 14:00 to 14:35"
"C/C++ Language Servers, Finding Our Next Path","Tools & IDEs","Doug Schaefer (BlackBerry QNX)","BlackBerry QNX","Seminarraum 5","Wednesday, October 24, 2018 - 14:00 to 14:35"
